번호,제목,본문내용,국가,지역
12,[러시아] Rosfirm,"□ 사이트 개요 ○사이트 유형:기업 디렉토리 ○ 러시아의 주요 기업의 업종과 연락처를 검색할 수 있는 무료 디렉토리로, 미국의 Yellowpage와 동일 ○언어:러시아어* 영어 및 기타 외국어 정보는 제공하지 않음.□ 제공 정보 ○업종, 기업명, 전화번호 등 간략한 연락정보 https://www.icapb2b.gr/portal/web/b2b/home",러시아연방,유럽
13,[루마니아] Trade Boss ,"□사이트개요 ○사이트유형: e-마켓플레이스- TradeBoss.com - B2B 마켓플레이스, 수출입비즈니스디렉토리o 설립연도:2008년o TradeBoss.com 은빠르게성장하고있는국제B2B 네트워크. 루마니아기업에의해운영되는사이트 ○언어: 영어 □제공정보(무료)- 업체이름- 제품- 담당자정보- 기업분류표- 주요사업별분류- 위치* 동사이트는232개국에관한비즈니스정보를제공하며, 무료사용자와유료회원간의제공되는정보는차이가있음. ",루마니아,유럽
14,[루마니아] Pagini Aurii ,"□ 사이트 개요 ○사이트 유형: 비즈니스 디렉토리o 언어: 루마니아어, 영어o 루마니아의상품, 서비스, 회사를 검색하는가장 대표적인검색엔진. 루마니아, 유럽의 1200만개 회사에관한 정보열람을제공하며 모바일이용도 가능함.* 회원가입 불필요□ 제공 정보 (무료)- 회사명- 연락처- 상품/서비스- 범주별 검색- 키워드별 검색- 위치",루마니아,유럽
15,[말레이시아] MATRADE,□ 사이트 개요 ○사이트 유형: 기업정보 사이트 ○말레이시아 무역공사(MATRADE)에서 운영하는 말레이시아 기업 정보 사이트 ○언어: 영어 □ 제공 정보 ○ 말레이시아 제조업 및 서비스업 종사 기업 정보 제공 https://www.matrade.gov.my/en,말레이시아,아시아
16,[모로코] Kerix (www.kerix.net),□ 사이트 개요 ○ 사이트 성격 :대표적인 모로코 기업 디렉토리 (무료) ○2002년 설립o 언어: 불어 □ 제공 정보 ○기업 개요 및 연락처등 상거래에 필요한 기초 정보,모로코,중동
17,[모로코] Telecontact (www.telecontact.ma),□ 사이트 개요 ○사이트 성격 : 모로코 내 개인/기업/기관 전화번호부 ○2005년 설립 ○언어: 불어 □ 제공 정보 ○모로코 내 개인/기업/기관 전화번호 연락처 제공 ,모로코,중동
18,[모잠비크] P&aacute;ginas amarelas,"□ 사이트 개요 ○사이트 주소 :  http://www.paginasamarelas.co.mz 사이트 유형 : 모잠비크 전화번호부(Yellow Page) ○모잠비크에서 이용할 수 있는 유일한 기업검색 사이트이며, 매년 기업정보가 업데이트 됨. - 모잠비크에는 별도의 기업DB가 없어, 기업검색시 현지 전화번호부 우선 활용 - 매출액, 수입액 등 구체적인 기업정보가 있는 것이 아니라, 전화번호 등 연락처 위주 ○언어 : 포르투갈어, 영어 □ 제공 정보 ○모잠비크 내 주요기업 정보(연락처) -무료이며모잠비크 내 유일한 기업정보 검색 사이트 -품목별, 업체명으로 검색 가능   끝.",모잠비크,아프리카
19,[미국] Ezilon,"□ 사이트 개요 ○사이트 유형: 기업 검색 사이트o 웹사이트를 통해 북미, 아시아, 유럽, 남미, 아프리카, 호주, 뉴질랜드, 중동 등의 지역에 있는 기업 검색 ○언어: 영어 □ 제공 정보 ○www.ezilon.com (메인 웹사이트)를 통해 주요 지역을 선택하면 그 지역의 수입, 수출, Distributor, 제조업체 검색 가능* 무료 이용 가능",미국,북미
20,[미국] MacRAES BLUE BooK,□ 사이트 개요 ○사이트 유형: e-마켓플레이스/디렉터리o 캐나다에 위치한 owen Media Partners Inc.사가 운영하고 있는 온라인 디렉터리로 북미지역(미국과 캐나다) 기반의 산업 디렉터리. 1893년 설립되어 120만개 사의 5만개의 품목 정보 보유 ○언어: 영어 □ 제공 정보 ○미국과 캐나다의 120만개 사의 5만여 품목 판매처 정보 보유하고 있으며 무료 디렉터리임. www.macraesbluebook.com,미국,북미
21,[미국] Manta,"□ 사이트 개요 ○사이트 유형 :업체정보 검색 사이트 ○미국을 기반으로 2005년 설립되었으며, 대기업이 아닌 중소기업 중심의 업체 정보 검색 사이트임 ○언어: 영어 □ 제공 정보 ○미국 내 각종 업체를 제공서비스/품목 혹은 미국 내 지역으로 도시단위까지 나눠서 조사가 가능하며 무료 검색 서비스 제공 ○업체명, 주소, 연락처(웹사이트, 메일, 전화 등) 제공 ○이용이 기본적으로 무료이며, 회원이 아니더라도 업체 검색은 가능하나 무료 회원 가입 시에 더욱 자세한 정보 (업체 매출액 등의 정보)를 얻을 수 있음. https://www.manta.com/",미국,북미
22,[미얀마] Yangon Directory,"□ 사이트 개요 ○사이트 유형: 해외기업검색 웹사이트 ○1992년에 기업정보 디렉토리를 처음으로 발간하여 13만 여개의 비즈니스 정보 수록, 미얀마 최대 도시인 양곤뿐만 아니라 만달레이, 네피도 등 21개 도시의 기업정보 수록o 언어: 영어, 미얀마어 □ 제공 정보 ○기업을 카테고리별로 구분하여 회사명, 주소, 취급품목, 전화번호, 이메일, 웹사이트 제공",미얀마,아시아
23,[미얀마] Myanmar Yellow Pages ,"□ 사이트 개요 ○사이트 유형: 해외기업검색 웹사이트o 1993년 설립되어 1995년부터 기업정보 디렉토리 발간하여 8만여개의 비즈니스 정보 수록 ○언어: 영어, 미얀마어□ 제공 정보o 기업을 카테고리별로 구분하여 회사명, 주소, 취급품목, 전화번호, 이메일, 웹사이트 제공",미얀마,아시아
24,[방글라데시] Bangladesh Yellow Page,□ 사이트 개요 ○ 사이트 유형 : 기업검색사이트  ○ 752개 카테고리 9000여개 방글라데시 기업정보를 보유한 방글라데시 최대 기업 디렉토리  ○언어 : 영어 □ 제공 정보 ○752개 카테고리 9000여개 방글라데시 기업정보,방글라데시,아시아
25,[방글라데시] Address Bazar,□ 사이트 개요 ○사이트 유형 : 기업검색 ○언어 : 영어  ○사이트 유형 : 기업정보(연락처) 제공 사이트 □ 제공 정보 ○기업정보가 아래 카테고리로 나뉘어 제공됨 - Agricultural Products - Beauty Treatment - Business Houses - Computer Internet - Consultancy - Education Career - Fashion Jewelry - Food Beverage - Furniture Decoration - Garments Accessories - Health Medicine - Hotel and Restaurant -Jute Goods Tea - Leather Leather Goods - Machinery Equipment,방글라데시,아시아
26,[벨기에] Kompass,"□ 사이트 개요 ○사이트 유형: 기업정보 검색사이트 ○언어: 프랑스어, 네덜란드어, 영어, 독어 ○Kompass는 글로벌 기업정보 서비스 기업이며 동 사이트는 벨기에 지사로 벨기에 기업을 중점적으로 검색 가능 ○약 13만개의 벨기에 기업 현황 정보 보유□ 제공 정보 ○주소, 홈페이지, 전화번호, 설립연도, 기업 규모, 주요 품목 등은 회원가입을 하지 않아도 열람 가능 ○수출입 국가, 매출액, 업체 재정상태, 경영진 등의 상세 정보는 유료로 이용 가능 https://www.kompass.com/businessplace/z/be/",벨기에,유럽
27,[벨기에] Trendstop,"□ 사이트 개요 ○사이트 유형: 기업정보 검색사이트o벨기에 내 35만여 개의 수입업체, 수출업체 및 제조업체 관련 정보 및 판매구매 오퍼 현황 정보 보유oRoularta Media Group의 자회사인 Biblo NV에서 운영하며 월평균 360만 명, 일평균 3만 명이 동 사이트를 이용하고 있음 ○언어: 프랑스어, 네덜란드어, 영어 □ 제공 정보 ○주소, 홈페이지, 전화번호, 설립연도, 사업자등록번호 등 기본 정보는 비회원 열람 가능 ○수출입 거래를 하는 국가, 총 매출액 추이, 업체 재정상태, 분야 담당자 등의 기업거래 상세정보의 경우에 는 유료 회원만 사용 가능 https://trendstop.knack.be/en/home.aspx",벨기에,유럽
28,[벨라루스] B2B,"□ 사이트 개요 ○웹사이트 유형 : 기업 검색 사이트 ㅇ1999년 설립. 운영업체는 Belfakta Media  ○웹사이트 언어 : 러시아어 (웹사이트 개편으로 현재는 러시아어 버전만 운영 중이며, 영어 버전 준비 중)  ○무료로 정보 이용 가능□ 제공 정보  ○100,000여개의 수입업체, 수출업체 및 제조업체 관련 정보  ○웹사이트내 directory에서 벨라루스 도시별 전화 코드, 국제 전화 코드, 벨라루스 도시별 우편 번호, 다른 나라 옐로우 페이지 링크, 가 기본 정보 제공  ○ 벨라루스외에 라트비아, 리투아니아 업체정보도 제공  ○주요 정보 내용 : 기업명, 주소, 홈페이지, 대표 전화, 대표 이메일, 회사 소개, 취급 상품 및 서비스 등 안내",벨라루스,유럽
29,[불가리아] Findbiz,"ㅁ 사이트 개요   ㅇ사이트 유형: 기업검색사이트   ㅇICAP(www.icap.bg) 사가 운영하는 e-마켓플레이스로 남동부 유럽의 5개국(불가리아, 루마니아, 그리스, 세르비아, 키프로스)를 대상으로 기업 정보 서비스를 제공. 약 800,000 기업정보 수록(불가리아는 150,000 개사) - ICAP 사는 D B 사의 발칸지역 exclusive 보유   ㅇ언어: 영어, 불가리아어, 루마니아어, 그리스어, 세르비아어  ㅁ 제공 정보   ㅇ기업명, 연락처, 주소 등 간략한 정보만의 검색이 가능하나 이 역시 수차례 검색으로 서비스 이용이 제한되어 있고 회원가입 유도 팝업 창이 지속적으로 뜸. - 결국 무료서비스로 이용하기에는 제한 사항과 불편함이 많아 결국에는 회원가입을 해야 서비스 이용이 가능함.  * 유무료 회원별 이용 가능 정보 차별 제공ㅁ메뉴 구성  ㅇ 기업명별 - 남동부유럽 4개국 중 해당 국가를 선택한 후, 기업명을 입력하여 조회 가능 - 고객이 해당 기업명을 이미 인지하고 있는 경우에 사용 가능한 방법이며 지역별, 도시별로 세분화된 검색 가능 ㅇ사업영역별 - 해당 사업 영역을 입력한 후, 해당 영업에 해당되는 기업 목록 검색 가능. 해당 사업영역에 포함되는 바이어 검색에 유용. 또한 알파벳 순으로 사업영역에 대한 가이드 안내가 포함ㅁ검색 방법 초기메뉴에서 먼저 해당 국가를 클릭 Search for...에서 기업명 또는 사업영역 중 하나를 선택한 후 내용 입력 검색결과가 하단에 바로 표시되며 클릭을 통해 세부 정보 검색 해당 기업명을 클릭하면 세부 정보 화면으로 이동 - 비회원의 경우, 주소와 전화, 팩스 번호 만이 공개되며 나머지 정보의 조회를 원할 경우, 회원가입 필요 회원의 경우, 기업 Profile, 취급 제품, 매출액 정보에 대한 세부 정보 확인 가능 회원은 Basic, Advanced, Premium 세 등급으로 나뉘어져 있으며, 등급에 따른 차별 서비스 제공ㅁ회원 등급별 이용가능 서비스  o무료회원 : 기업명, 주소, 전화, 팩스 등 기본 정보만 조회 가능  - 이메일, 홈페이지 정보 조회 불가하며 무료회원이라도 수차례 검색으로 제한되어 있어 결국에는 회원가입이 필요  - 가입 수수료는 등급에 따라 다르며 초기 회원 가입 시 다양한 고객 욥션에 따른 가격 네고 가능  o유료 회원 - Basic, Advanced, Premium 세 가지 구분되며, 자세한 서비스 지원 범위와 옵션에 따른 가격은 업체와의 네고 필요 o문의처  o업체명 : ICAP Bulgaria Co., Ltd o이메일 : atodorov@icap.bg  o홈페이지 : www.icap.bg  o전화번호 : +359-2-801-4134           ",불가리아,유럽
30,[브라질] Guia Nei,"□ 사이트 개요o 사이트 유형: 기업검색 사이트o Nei Solution은 바이어와 오퍼상을 위한 최신 산업정보를 제공하는 미디어이자 서비스며 동시에 사업기회를 창출할 수 있는 공간을 제공함. Nei는 1974년 창립한 업체로Revista Nei (전문산업잡지),Top 5(411개 카테고리 별 Top 5 공급업체) ,Nei Newsletter(산업동향 뉴스레터) 등 다수의 컨텐츠를 운영함.o 언어: 영어, 포르투갈어, 스페인어□ 제공 정보o 바이어와 오퍼상을 위한 최신 산업 동향을 업데이트하여 제공함. 411개카테고리 240,000 개이상의 제품, 독점적인 산업 정보 등을 보유함. www.nei.com.br",브라질,중남미
31,[사우디아라비아] Zawya,"□ 사이트 개요o 사이트 유형: 기업검색사이트o Thomson Reuters사가 중동지역을 기반으로 2013년 www.zawya.com 개설o 언어: 영어, 아랍어□ 제공 정보o 사우디 내의 각종 업체, 기관 관련 정보 및세금,관련법규, 뉴스 등 다양한 실용정보 제공o 중동시장 뉴스, 칼럼 구독* 무료 회원 이용 가능",사우디아라비아,중동
32,[스리랑카] Rainbowpage,"□ 사이트 개요o유형 : 스리랑카 비즈니스 연락처 검색 사이트o담당 : Sri Lanka Telecom PLC (SLT)o 배경 : 1930년대부터 설립이 되어 책의 형태로 출판 되었으나 최근에 Media 형태로 주로 발행되고 있음. 모바일 서비스도 제공하고 있으며 모든 형태의 기관, 기업을 포함하고 있는 점이 특징이며 모든 정보를 무료로 살펴 볼 수 있다는 점이 장점임.o 언어: 영어□ 제공 정보o 내용 : 스리랑내 기관 및 기업 정보(기관명, 전자명함, 연락처, 위치, 취급품목 등)o비용 :무료끝",스리랑카,아시아
33,[스웨덴] Eniro ,"□ 사이트 개요o 사이트 유형: 기업/인물검색 웹사이트o 스웨덴 Yellow Page로 무료 검색 웹사이트o 언어: 스웨덴어□ 제공 정보o 기업, 인물 https://www.eniro.se/",스웨덴,유럽
34,[스웨덴] allabolag,"□ 사이트 개요o사이트 유형: 기업검색 웹사이트o스웨덴 기업신용조회기관인 UC AB사가 운영하는 기업검색 웹사이트o언어: 스웨덴어□ 제공 정보o기업 기본정보 (무료)- 일반정보: 회사명, 대표자명, 회사등록일, 모회사명, 전화, 주소 등- 재무정보: 종업원수, 연도별 연매출액, 당기순이익, 총자산, 영업마진율 등o기업 추가정보 (유료)- 신용조회, 연차보고서, 사무용차량 이용현황, 회사등록증 등 https://www.eniro.se/",스웨덴,유럽
35,[스위스] Wer Liefert Was,"□ 사이트 개요o 사이트 유형: 해외기업검색웹사이트o 1932년 독일에서 설립되었으며연간 37백만 명 이상 방문. 제품명으로 업체정보 검색가능하며 독일, 오스트리아, 스위스 기업정보 무료제공o 언어: 영어, 독일어, 프랑스어□ 제공 정보o 독일의 428,000여 개 기업, 오스트리아의 66,500여 개 기업, 스위스의 63,500여 개의 기업정보가 등록되어 있으며 제조업체, 도소매업체, 유통업체의 홈페이지, 주소, 전화번호, 이메일, 담당자 그리고 취급품목에 대한 정보제공 https://www.wlw.ch/en",스위스,유럽
36,[스페인] Hotfrog,"□ 사이트 개요o 사이트 유형: 기업검색사이트o 호주에 본사를 둔 기업으로 전 세계 38개국에 진출해 있으며 방대한 량의 스페인 기업 디렉터리 보유o 언어: 스페인어* 스페인 기업 정보는 스페인어로만 제공□ 제공 정보o 38개국 내 기업에 대한 소개, 컨택포인트, 취급 품목 정보 무료 제공",스페인,유럽
37,[싱가포르] Marshall Cavendish Business Information,"□ 사이트 개요o 사이트 유형: 기업검색사이트o 싱가포르, 말레이시아, 태국, 홍콩을 기반으로 무역 디렉토리를 출판, 온라인 공개하고 있는 출판 회사가 정부기관과의 파트너쉽을 통해 운영하고 있음.o 언어: 영어□ 제공 정보o 싱가포르, 말레이시아, 태국, 홍콩을 기반으로 하는 수입업체, 수출업체 및 제조업체 관련 정보를 품목별, 국가별로 정보 제공 https://www.terrapinn.com/",싱가포르,아시아
38,[싱가포르] Companylist,"  □ 사이트 개요  o 사이트 유형: 기업정보 공유 사이트  o 싱가포르를 기반으로 180개국 기업의 정보를 공유하는 비영리 사이트  o 언어: 영어  □ 제공 정보  o 180개국의 수입업체, 수출업체 및 제조업체 관련 정보를 품목별, 국가별로 정보 제공",싱가포르,아시아
39,[싱가포르] Questnet,"□ 사이트 개요o 사이트 유형: 기업 신용 및 법적 정보 조사 사이트o 싱가포르를 기반으로 한 자료 조사 업체로 싱가포르 기업 설립 및 등록 기관과의 파트너쉽을 통해 기업들의 신용, 재정, 자산, 법적 자료 제공o 언어: 영어□ 제공 정보o 85개국의 수입업체, 수출업체 및 제조업체 관련 신용정보 및 사법 처리 기록, 자산 평가 자료를 요청에 따라 건별로 제공 https://www.questnet.sg/",싱가포르,아시아
40,[아랍에미리트] 옐로우페이지,"□ 사이트 개요 o사이트 유형: 기업검색사이트 oUAE 제1 통신사 에티살랏(Etisalat)이 운영하고 있음. o언어: 영어, 아랍어□ 제공 정보 oUAE의 에미리트(7개의 에미리트가 존재)별로 기업정보 검색이 가능하며 아부다비 내 알아인시 또한 개별적으로 검색 가능 https://www.yellowpages-uae.com/",아랍에미리트,중동
41,[아랍에미리트] 아부다비상공회의소,"□ 사이트 개요 o사이트 유형: 기업검색사이트 o아부다비 정부기관으로 아부다비에 회사설립(지사, 법인 등 모든 형태)시 반드시 상공회의소에 가입을 해야 하므로 아부다비 역내 모든 기업의 정보를 조회할 수 있음. o언어: 영어, 아랍어□ 제공 정보 o아부다비 내 설립된 기업의 기업명, 주소, 전화번호, 업무영역 등의 조회가 가능하며 기업이 정보공개에 동의한 경우 기업면허(License) 및 주주 정보 등도 열람 가능 https://www.dubaichambercommerce.com/en/",아랍에미리트,중동
42,[아르헨티나] TRADE NoSIS,"□ 사이트 개요o 사이트 유형: 기업검색사이트o 서비스연도: 1988년o 운영회사: NoSIS SAo 서비스 소개: 아르헨티나 수출입 통계 서비스를 제공(www.nosis.com.ar :유료)하는 NoSIS SA사의 무료 회사정보제공 사이트임.o 언어: 스페인어, 영어, 이탈리아어, 독일어□ 제공 정보o 기업기본정보(국가, 사업자 등록번호, 업종, 설립연도, 매출액, 주소, 전화번호, 홈페이지), 취급 브랜드, 판매제품, 구매제품, 무역통계자료 수록",아르헨티나,중남미
43,[알제리] Les Pages Maghreb,"□ 사이트 개요o 사이트 유형: 기업검색사이트o 사이트주소 : https://www.lespagesmaghreb.com/ o 알제리, 튀니지를 기반으로 2006년에 설립되어 마그레브 지역 권의 각종 회사 정보를 제공o Les Pages Maghreb은 데이터 베이스 및 응용 웹 사이트에 특화된 프랑스 기업의 알제리 자회사로 Algrie Tlcom(알제리 텔레콤)과 파트너 관계를 유지- 문의사항이 있을시 직접문의 메일발송 가능- 신규 등록된 기업들의 정보가 실시간으로 업데이트 됨.o 회사마다 재무정보, 종업원 수, 연혁 등 세부 정보를 제공o 언어: 프랑스어□ 제공 정보o 알제리, 튀니지 등 마그레브 지역 국가들의 수입업체, 수출업체 및 제조업체 등의 정보 제공o 3백만 이상의 전화가입자와 20여 만개의 알제리 회사 및 6만여 개의 튀니지 회사를 회사명부 목록에 보유하여 이용 고객 및 회사의 발전과 회사 관계 망을 개선할 수 있도록 함.o 회사 이름, 분야, 취급 품목 등을 입력 후에 해당 업체 연락처(주소, 전화번호, 팩스번호, 이메일 등)을 검색o 회사마다 재무정보, 종업원 수, 연혁 등 세부 정보를 제공* 로그인을 하지 않으면 하루에 검색할 수 있는 횟수가 10회로 제한되므로, 필요시 본인의 이름으로 계정 생성(무료)",알제리,중동
44,[에콰도르] Ekos Negocios,"□ 사이트 개요o 사이트 유형: 에콰도르 비즈니스 전문잡지 사이트로 업종별 기업정보 제공(총 4,295개사, 기업소개 수준)o 언어: 스페인어□ 제공 정보o 12개 업종 대분류를 기준으로 관련기업 소개- 업종분류 내역: 농축산업, 도매, 소매, 건설, 산업, 원유 및 광산개발, 보건, 자동차, 금융, 서비스, 운송, 관광 및 요식업* 무료 회원으로 이용 가능o 기업관련 제공 정보- 회사명, 주소, 대표 전화번호, 매출액, 수익, 법인세납부액, 매출액 기준 순위 등",에콰도르,중남미
